instrument,start_year,end_year,star_rvs,galaxy_z_lt_2.1,galaxy_z_gt_2.1,area
SDSS/BOSS/eBOSS,1999,2019,1000000,3500000,340000,10000
SDSS/APOGEE,2011,2019,1550000,1,1,25000
SDSS-V,2020,2027,6000000,400000,400000,25000
LAMOST,2012,2012,11100000,270000,20000,15000
Gaia,2014,2014,7200000,1,1,25000
HETDEX,2014,2014,1,1,1000000,540
DESI,2021,2021,20000000,40000000,800000,14000
Euclid,2024,2024,1,35000000,1,15000
Sumire/PFS,2025,2025,1000000,3500000,500000,800
4MOST,2025,2025,16000000,12300000,100000,15000
Roman,2027,2027,1,12000000,1000000,2000
DESI-ext,2025,2028,1,20000000,200000,17000
MUST,2030,2030,1,126000000,40000000,11000
MSE,2030,2030,10000000,7000000,600000,3200
WST,2030,2030,25000000,250000000,250000000,18000
MegaMapper,2030,2030,40000000,271000000,95000000,18000
Spec-S5,2036,2036,182000000,76000000,62000000,25000
